Fastighetsbeteckning,Adress,Kommunnamn
Korsnäbben 2,Wiboms Väg 5,Solna
Förvaltaren 1,Emmylundsvägen 4,Solna
Päronet 6,Torggatan 13,Solna
Violen 2,Logdansvägen 20,Sundbyberg
Bo�nken 1,Wiboms Väg 4,Solna
Gräslöken 1,Anderstorpsvägen 22,Solna
Trasten 3,Furuvägen 23,Sundbyberg
Päronet 6,Tritonvägen 15,Solna
Utgården 1,Trädgårdsgatan 14B,Sundbyberg
Skulptören 7,Albygatan 131 A-B,Sundbyberg
Violen 2,Logdansvägen 48,Sundbyberg
Posten 7,Sturegatan 27 / Stationsgatan 4,Sundbyberg
Skulptören 7,Högklintavägen 4,Sundbyberg
Bageriet 3,Gjuteribacken 17,Sundbyberg
Generalen 1,Emmylundsvägen 3,Solna
Generalen 1,Emmylundsvägen 3,Solna
Skulptören 7,Högklintavägen 6,Sundbyberg
Palsternackan 1,Jungfrudansen 3,Solna
Päronet 8,Solna strandväg 13,Solna
Blåelden 2,Örsvängen 3,Sundbyberg
Posten 6,Järnvägsgatan 28,Sundbyberg
Blåmesen 1,Kristinelundsvägen 1,Solna
Ritorp 5,Enköpingsvägen 19 B,Solna
Ritorp 5,Ritorpsvägen 9,Solna
Ritorp 5,Regementsgatan 56,Solna
Palsternackan 1,Jungfrudansen 11,Solna
Fasanen 3,Furuvägen 28,Sundbyberg
Rödbetan 1,Jungfrudansen 64,Solna
Huvudsta 4:19,Johan Enbergs Väg,Solna
Kaptenen 1,Johan Enbergs väg 1,Solna
Huvudsta 4:19,Johan Enbergs Väg,Solna
Bo�nken 1,Wiboms Väg 6,Solna
Rödbetan 2,Jungfrudansen 88,Solna
Rödbetan 1,Jungfrudansen 78,Solna
Korsnäbben 2,Wiboms Väg 15,Solna
Rödbetan 2,Jungfrudansen 96,Solna
Päronet 8,Solna strandväg 13,Solna
Krubban 3,Brunnsgatan 6,Sundbyberg
Dillen 2,Jungfrudansen 2,Solna
Gulmåran 1,Kavaljersbacken 14,Sundbyberg
Fasanen 3,Stenbrottsgatan 4,Sundbyberg
Päronet 8,Solna strandväg 13,Solna
Förvaltaren 1,Emmylundsvägen 12,Solna
Myggan 1,Fläderstigen 13,Solna
Ryttmästaren 1,Johan Enbergs väg 3,Solna
Klippan 23,Trädgårdsgatan 20,Sundbyberg
Flugsnapparen 1,Wiboms Väg 17,Solna
Nötväckan 1,Wiboms Väg 8,Solna
Dillen 2,Jungfrudansen 10,Solna
Fasanen 3,Tulegatan 42,Sundbyberg
Kapellet 8,Brunnsgatan 3,Sundbyberg
Fältmarskalken 6,Johan Enbergs väg 34,Solna
Dillen 2,Jungfrudansen 14,Solna
Sländan 2,Fläderstigen 5,Solna
Blåelden 2,Örsvängen 7,Sundbyberg
Liden 12,Esplanaden 22,Sundbyberg
Fältmarskalken 6,Johan Enbergs väg 36,Solna
Bagartorp 14,Bagartorpsringen 92,Solna
Hundlokan 3,Majeldsvägen 2,Sundbyberg
Kapellet 9,Brunnsgatan 1,Sundbyberg
Kuttingen 1,Mäster Simons Väg 11,Solna
Bagartorp 15,Bagartorpsringen 6,Solna
Gurkan 1,Jungfrudansen 34,Solna
Gurkan 2,Jungfrudansen 26,Solna
Ryttmästaren 1,Johan Enbergs väg 5,Solna
Myran 3,Törnbacken 2,Solna
Bagartorp 16,Bagartorpsringen 18,Solna
Palsternackan 2,Jungfrudansen 17,Solna
Nötväckan 1,Wiboms Väg 10,Solna
Fasanen 3,Rensgatan 2,Sundbyberg
Humlan 1,Törnbacken 5,Solna
Humlan 1,Törnbacken 1,Solna
Ljungen 3,Spelmanshöjden 24,Sundbyberg
Kungsljuset 1,Ringleken 6,Sundbyberg
Kassören 28,Vegagatan 2,Sundbyberg
Flugsnapparen 1,Wiboms Väg 27,Solna
Moroten 3,Jungfrudansen 42,Solna
Moroten 2,Jungfrudansen 48,Solna
Kuttingen 2,Mäster Simons Väg 9 B,Solna
Humlan 1,Törnbacken 13,Solna
Gulmåran 1,Kavaljersbacken 2,Sundbyberg
Fältmarskalken 3,Johan Enbergs väg 40B,Solna
Myran 3,Fläderstigen 2-6,Solna
Klippan 20,Trädgårdsgatan 32,Sundbyberg
Fältmarskalken 3,Johan Enbergs väg 44,Solna
Kuttingen 2,Nämndemansgatan 8,Solna
